Year,Sport,Event,Bronze,Silver,Gold
1932,Swimming,Swimming Men's 100 metres Freestyle,USA,Japan,Japan
1932,Swimming,Swimming Men's 200 metres Breaststroke,Philippines,Japan,Japan
1932,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Hungary,USA,Japan
1932,Swimming,Swimming Men's 400 metres Freestyle,Japan,France,USA
1932,Swimming,Swimming Women's 100 metres Backstroke,UK,Australia,USA
1932,Swimming,Swimming Women's 100 metres Freestyle,USA,Netherlands,USA
1932,Swimming,Swimming Women's 200 metres Breaststroke,Denmark,Japan,Australia
1932,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,UK,Netherlands,USA
1932,Swimming,Swimming Women's 400 metres Freestyle,South Africa,USA,USA
1932,Water Polo,Water Polo Men's Water Polo,USA,Germany,Hungary
1932,Weightlifting,Weightlifting Men's Featherweight,USA,Germany,France
1932,Weightlifting,Weightlifting Men's Heavyweight,Germany,Czech Republic,Czech Republic
1932,Weightlifting,Weightlifting Men's Light-Heavyweight,USA,Denmark,France
1932,Weightlifting,Weightlifting Men's Lightweight,Italy,Austria,France
1932,Weightlifting,Weightlifting Men's Middleweight,Austria,Italy,Germany
1932,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Finland,Hungary,USA
1932,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",France,Italy,Germany
1932,Wrestling,"Wrestling Men's Featherweight, Freestyle",Sweden,USA,Finland
1932,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Finland,Germany,Italy
1932,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Austria,USA,Sweden
1932,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Austria,Czech Republic,Sweden
1932,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Australia,Sweden,USA
1932,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Italy,Finland,Sweden
1932,Wrestling,"Wrestling Men's Lightweight, Freestyle",Sweden,Hungary,France
1932,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Germany,Denmark,Sweden
1932,Wrestling,"Wrestling Men's Middleweight, Freestyle",Hungary,Finland,Sweden
1932,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Sweden,Germany,Finland
1932,Wrestling,"Wrestling Men's Welterweight, Freestyle",Finland,Canada,USA
1932,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Italy,Finland,Sweden
1936,Aeronautics,Aeronautics Mixed Aeronautics,Data Missing,Data Missing,Switzerland
1936,Alpinism,Alpinism Mixed Alpinism,Data Missing,Data Missing,Switzerland
1936,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Austria,Germany,Austria
1936,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Germany,USA,Germany
1936,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Poland,Germany,Finland
1936,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",Austria,Italy,Germany
1936,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Czech Republic,Italy,Germany
1936,Art Competitions,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Germany,Germany,Germany
1936,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",Poland,Germany,Switzerland
1936,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",Japan,Italy,Data Missing
1936,Art Competitions,"Art Competitions Mixed Painting, Paintings",Japan,Austria,Data Missing
1936,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",Belgium,Italy,Data Missing
1936,Art Competitions,"Art Competitions Mixed Sculpturing, Reliefs",Data Missing,Poland,Germany
1936,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Sweden,Germany,Italy
1936,Athletics,"Athletics Men's 1,500 metres",Italy,USA,New Zealand
1936,Athletics,"Athletics Men's 10,000 metres",Finland,Finland,Finland
1936,Athletics,Athletics Men's 100 metres,Netherlands,USA,USA
1936,Athletics,Athletics Men's 110 metres Hurdles,USA,UK,USA
1936,Athletics,Athletics Men's 200 metres,Netherlands,USA,USA
1936,Athletics,"Athletics Men's 3,000 metres Steeplechase",Germany,Finland,Finland
1936,Athletics,Athletics Men's 4 x 100 metres Relay,Germany,Italy,USA
1936,Athletics,Athletics Men's 4 x 400 metres Relay,Germany,USA,UK
1936,Athletics,Athletics Men's 400 metres,USA,UK,USA
1936,Athletics,Athletics Men's 400 metres Hurdles,Philippines,Canada,USA
1936,Athletics,"Athletics Men's 5,000 metres",Sweden,Finland,Finland
1936,Athletics,Athletics Men's 50 kilometres Walk,Latvia,Switzerland,UK
1936,Athletics,Athletics Men's 800 metres,Canada,Italy,USA
1936,Athletics,Athletics Men's Decathlon,USA,USA,USA
1936,Athletics,Athletics Men's Discus Throw,Italy,USA,USA
1936,Athletics,Athletics Men's Hammer Throw,Sweden,Germany,Germany
1936,Athletics,Athletics Men's High Jump,USA,USA,USA
1936,Athletics,Athletics Men's Javelin Throw,Finland,Finland,Germany
1936,Athletics,Athletics Men's Long Jump,Japan,Germany,USA
1936,Athletics,Athletics Men's Marathon,Japan,UK,Japan
1936,Athletics,Athletics Men's Pole Vault,Japan,Japan,USA
1936,Athletics,Athletics Men's Shot Put,Germany,Finland,Germany
1936,Athletics,Athletics Men's Triple Jump,Australia,Japan,Japan
1936,Athletics,Athletics Women's 100 metres,Germany,Poland,USA
1936,Athletics,Athletics Women's 4 x 100 metres Relay,Canada,UK,USA
1936,Athletics,Athletics Women's 80 metres Hurdles,Canada,Germany,Italy
1936,Athletics,Athletics Women's Discus Throw,Germany,Poland,Germany
1936,Athletics,Athletics Women's High Jump,Germany,UK,Hungary
1936,Athletics,Athletics Women's Javelin Throw,Poland,Germany,Germany
1936,Basketball,Basketball Men's Basketball,Mexico,Canada,USA
1936,Boxing,Boxing Men's Bantamweight,Mexico,USA,Italy
1936,Boxing,Boxing Men's Featherweight,Germany,South Africa,Argentina
1936,Boxing,Boxing Men's Flyweight,USA,Italy,Germany
1936,Boxing,Boxing Men's Heavyweight,Norway,Argentina,Germany
1936,Boxing,Boxing Men's Light-Heavyweight,Argentina,Germany,France
1936,Boxing,Boxing Men's Lightweight,Sweden,Estonia,Hungary
1936,Boxing,Boxing Men's Middleweight,Argentina,Norway,France
1936,Boxing,Boxing Men's Welterweight,Denmark,Germany,Finland
1936,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Canada,Austria,Czech Republic
1936,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Austria,Canada,Czech Republic
1936,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Germany,Czech Republic,Canada
1936,Canoeing,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Netherlands,Germany,Sweden
1936,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Germany,France,Austria
1936,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Netherlands,Germany,Austria
1936,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Sweden,Austria,Germany
1936,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Netherlands,Germany,Austria
1936,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",USA,Austria,Germany
1936,Cycling,"Cycling Men's 1,000 metres Time Trial",Germany,France,Netherlands
1936,Cycling,"Cycling Men's Road Race, Individual",Switzerland,France,France
1936,Cycling,"Cycling Men's Road Race, Team",Belgium,Switzerland,France
1936,Cycling,Cycling Men's Sprint,France,Netherlands,Germany
1936,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",France,Netherlands,Germany
1936,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",UK,Italy,France
1936,Diving,Diving Men's Platform,Germany,USA,USA
1936,Diving,Diving Men's Springboard,USA,USA,USA
1936,Diving,Diving Women's Platform,Germany,USA,USA
1936,Diving,Diving Women's Springboard,USA,USA,USA
1936,Equestrianism,"Equestrianism Men's Dressage, Individual",Austria,Germany,Germany
1936,Equestrianism,"Equestrianism Men's Dressage, Team",Sweden,France,Germany
1936,Equestrianism,"Equestrianism Men's Jumping, Individual",Hungary,Romania,Germany
1936,Equestrianism,"Equestrianism Men's Jumping, Team",Portugal,Netherlands,Germany
1936,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Denmark,USA,Germany
1936,Equestrianism,"Equestrianism Men's Three-Day Event, Team",UK,Poland,Germany
1936,Fencing,"Fencing Men's Foil, Individual",Italy,France,Italy
1936,Fencing,"Fencing Men's Foil, Team",Germany,France,Italy
1936,Fencing,"Fencing Men's Sabre, Individual",Hungary,Italy,Hungary
1936,Fencing,"Fencing Men's Sabre, Team",Germany,Italy,Hungary
1936,Fencing,"Fencing Men's epee, Individual",Italy,Italy,Italy
1936,Fencing,"Fencing Men's epee, Team",France,Sweden,Italy
1936,Fencing,"Fencing Women's Foil, Individual",Austria,Germany,Hungary
1936,Football,Football Men's Football,Norway,Austria,Italy
1936,Gymnastics,Gymnastics Men's Floor Exercise,Germany,Switzerland,Switzerland
1936,Gymnastics,Gymnastics Men's Horizontal Bar,Germany,Germany,Finland
1936,Gymnastics,Gymnastics Men's Horse Vault,Germany,Switzerland,Germany
1936,Gymnastics,Gymnastics Men's Individual All-Around,Germany,Switzerland,Germany
1936,Gymnastics,Gymnastics Men's Parallel Bars,Germany,Switzerland,Germany
1936,Gymnastics,Gymnastics Men's Pommelled Horse,Switzerland,Switzerland,Germany
1936,Gymnastics,Gymnastics Men's Rings,Germany,Serbia,Czech Republic
1936,Gymnastics,Gymnastics Men's Team All-Around,Finland,Switzerland,Germany
1936,Gymnastics,Gymnastics Women's Team All-Around,Hungary,Czech Republic,Germany
1936,Handball,Handball Men's Handball,Switzerland,Austria,Germany
1936,Hockey,Hockey Men's Hockey,Netherlands,Germany,India
1936,Modern Pentathlon,Modern Pentathlon Men's Individual,Italy,USA,Germany
1936,Polo,Polo Men's Polo,Mexico,UK,Argentina
1936,Rowing,Rowing Men's Coxed Eights,Germany,Italy,USA
1936,Rowing,Rowing Men's Coxed Fours,France,Switzerland,Germany
1936,Rowing,Rowing Men's Coxed Pairs,France,Italy,Germany
1936,Rowing,Rowing Men's Coxless Fours,Switzerland,UK,Germany
1936,Rowing,Rowing Men's Coxless Pairs,Argentina,Denmark,Germany
1936,Rowing,Rowing Men's Double Sculls,Poland,Germany,UK
1936,Rowing,Rowing Men's Single Sculls,USA,Austria,Germany
1936,Sailing,Sailing Mixed 6 metres,Sweden,Norway,UK
1936,Sailing,Sailing Mixed 8 metres,Germany,Norway,Italy
1936,Sailing,Sailing Mixed One Person Dinghy,UK,Germany,Netherlands
1936,Sailing,Sailing Mixed Two Person Keelboat,Netherlands,Sweden,Germany
1936,Shooting,"Shooting Men's Free Pistol, 50 metres",France,Germany,Sweden
1936,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Sweden,Germany,Germany
1936,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Poland,Hungary,Norway
1936,Swimming,"Swimming Men's 1,500 metres Freestyle",Japan,USA,Japan
1936,Swimming,Swimming Men's 100 metres Backstroke,Japan,USA,USA
1936,Swimming,Swimming Men's 100 metres Freestyle,Japan,Japan,Hungary
1936,Swimming,Swimming Men's 200 metres Breaststroke,Japan,Germany,Japan
1936,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Hungary,USA,Japan
1936,Swimming,Swimming Men's 400 metres Freestyle,Japan,Japan,USA
1936,Swimming,Swimming Women's 100 metres Backstroke,USA,Netherlands,Netherlands
1936,Swimming,Swimming Women's 100 metres Freestyle,Germany,Argentina,Netherlands
1936,Swimming,Swimming Women's 200 metres Breaststroke,Denmark,Germany,Japan
1936,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Germany,Netherlands
1936,Swimming,Swimming Women's 400 metres Freestyle,USA,Denmark,Netherlands
1936,Water Polo,Water Polo Men's Water Polo,Belgium,Germany,Hungary
1936,Weightlifting,Weightlifting Men's Featherweight,Egypt,Egypt,USA
1936,Weightlifting,Weightlifting Men's Heavyweight,Estonia,Czech Republic,Germany
1936,Weightlifting,Weightlifting Men's Light-Heavyweight,Egypt,Germany,France
1936,Weightlifting,Weightlifting Men's Lightweight,Germany,Data Missing,Austria
1936,Weightlifting,Weightlifting Men's Middleweight,Germany,Germany,Egypt
1936,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Germany,USA,Hungary
1936,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Germany,Sweden,Hungary
1936,Wrestling,"Wrestling Men's Featherweight, Freestyle",Sweden,USA,Finland
1936,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Sweden,Finland,Turkey
1936,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Finland,Czech Republic,Estonia
1936,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Germany,Sweden,Estonia
1936,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Germany,Estonia,Sweden
1936,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Estonia,Latvia,Sweden
1936,Wrestling,"Wrestling Men's Lightweight, Freestyle",Finland,Germany,Hungary
1936,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Estonia,Czech Republic,Finland
1936,Wrestling,"Wrestling Men's Middleweight, Freestyle",Turkey,USA,France
1936,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Hungary,Germany,Sweden
1936,Wrestling,"Wrestling Men's Welterweight, Freestyle",Canada,Sweden,USA
1936,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Finland,Germany,Sweden
1948,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Sweden,Austria,Austria
1948,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Finland,Switzerland,Finland
1948,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Hungary,Denmark,Italy
1948,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",France,South Africa,Finland
1948,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Denmark,Finland,Poland
1948,Art Competitions,"Art Competitions Mixed Music, Instrumental And Chamber",Italy,Canada,Data Missing
1948,Art Competitions,"Art Competitions Mixed Music, Vocals",Italy,Data Missing,Data Missing
1948,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",Switzerland,Switzerland,Data Missing
1948,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",South Africa,UK,France
1948,Art Competitions,"Art Competitions Mixed Painting, Paintings",Ireland,Italy,UK
1948,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Plaques",Austria,Austria,Data Missing
1948,Art Competitions,"Art Competitions Mixed Sculpturing, Reliefs",UK,Data Missing,Data Missing
1948,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",France,UK,Sweden
1948,Athletics,"Athletics Men's 1,500 metres",Netherlands,Sweden,Sweden
1948,Athletics,Athletics Men's 10 kilometres Walk,Switzerland,Sweden,Sweden
1948,Athletics,"Athletics Men's 10,000 metres",Sweden,France,Czech Republic
1948,Athletics,Athletics Men's 100 metres,Panama,USA,USA
1948,Athletics,Athletics Men's 110 metres Hurdles,USA,USA,USA
1948,Athletics,Athletics Men's 200 metres,Panama,USA,USA
1948,Athletics,"Athletics Men's 3,000 metres Steeplechase",Sweden,Sweden,Sweden
1948,Athletics,Athletics Men's 4 x 100 metres Relay,Italy,UK,USA
1948,Athletics,Athletics Men's 4 x 400 metres Relay,Sweden,France,USA
1948,Athletics,Athletics Men's 400 metres,USA,Jamaica,Jamaica
1948,Athletics,Athletics Men's 400 metres Hurdles,Sweden,Sri Lanka,USA
1948,Athletics,"Athletics Men's 5,000 metres",Netherlands,Czech Republic,Belgium
1948,Athletics,Athletics Men's 50 kilometres Walk,UK,Switzerland,Sweden
1948,Athletics,Athletics Men's 800 metres,France,Jamaica,USA
1948,Athletics,Athletics Men's Decathlon,USA,France,USA
1948,Athletics,Athletics Men's Discus Throw,USA,Italy,Italy
1948,Athletics,Athletics Men's Hammer Throw,USA,Serbia,Hungary
1948,Athletics,Athletics Men's High Jump,USA,Norway,Australia
1948,Athletics,Athletics Men's Javelin Throw,Hungary,USA,Finland
1948,Athletics,Athletics Men's Long Jump,USA,Australia,USA
1948,Athletics,Athletics Men's Marathon,Belgium,UK,Argentina
1948,Athletics,Athletics Men's Pole Vault,USA,Finland,USA
1948,Athletics,Athletics Men's Shot Put,USA,USA,USA
1948,Athletics,Athletics Men's Triple Jump,Turkey,Australia,Sweden
1948,Athletics,Athletics Women's 100 metres,Australia,UK,Netherlands
1948,Athletics,Athletics Women's 200 metres,USA,UK,Netherlands
1948,Athletics,Athletics Women's 4 x 100 metres Relay,Canada,Australia,Netherlands
1948,Athletics,Athletics Women's 80 metres Hurdles,Australia,UK,Netherlands
1948,Athletics,Athletics Women's Discus Throw,France,Italy,France
1948,Athletics,Athletics Women's High Jump,France,UK,USA
1948,Athletics,Athletics Women's Javelin Throw,Denmark,Finland,Austria
1948,Athletics,Athletics Women's Long Jump,Sweden,Argentina,Hungary
1948,Athletics,Athletics Women's Shot Put,Austria,Italy,France
1948,Basketball,Basketball Men's Basketball,Brazil,France,USA
1948,Boxing,Boxing Men's Bantamweight,Puerto Rico,Italy,Hungary
1948,Boxing,Boxing Men's Featherweight,Poland,South Africa,Italy
1948,Boxing,Boxing Men's Flyweight,South Korea,Italy,Argentina
1948,Boxing,Boxing Men's Heavyweight,South Africa,Sweden,Argentina
1948,Boxing,Boxing Men's Light-Heavyweight,Argentina,UK,South Africa
1948,Boxing,Boxing Men's Lightweight,Denmark,Belgium,South Africa
1948,Boxing,Boxing Men's Middleweight,Italy,UK,Hungary
1948,Boxing,Boxing Men's Welterweight,Italy,USA,Czech Republic
1948,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",France,USA,Czech Republic
1948,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",France,Czech Republic,USA
1948,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",France,Canada,Czech Republic
1948,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Canada,USA,Czech Republic
1948,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Finland,Denmark,Sweden
1948,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Finland,Norway,Sweden
1948,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",France,Denmark,Sweden
1948,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Norway,Finland,Sweden
1948,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Austria,Netherlands,Denmark
1948,Cycling,"Cycling Men's 1,000 metres Time Trial",UK,Belgium,France
1948,Cycling,"Cycling Men's Road Race, Individual",Belgium,Netherlands,France
1948,Cycling,"Cycling Men's Road Race, Team",France,UK,Belgium
1948,Cycling,Cycling Men's Sprint,Denmark,UK,Italy
1948,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",France,UK,Italy
1948,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",UK,Italy,France
1948,Diving,Diving Men's Platform,Mexico,USA,USA
1948,Diving,Diving Men's Springboard,USA,USA,USA
1948,Diving,Diving Women's Platform,Denmark,USA,USA
1948,Diving,Diving Women's Springboard,USA,USA,USA
1948,Equestrianism,"Equestrianism Men's Dressage, Individual",Sweden,France,Switzerland
1948,Equestrianism,"Equestrianism Men's Dressage, Team",Portugal,USA,France
1948,Equestrianism,"Equestrianism Men's Jumping, Individual",France,Mexico,Mexico
1948,Equestrianism,"Equestrianism Men's Jumping, Team",UK,Spain,Mexico
1948,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Sweden,USA,France
1948,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Mexico,Sweden,USA
1948,Fencing,"Fencing Men's Foil, Individual",Hungary,France,France
1948,Fencing,"Fencing Men's Foil, Team",Belgium,Italy,France
1948,Fencing,"Fencing Men's Sabre, Individual",Hungary,Italy,Hungary
1948,Fencing,"Fencing Men's Sabre, Team",USA,Italy,Hungary
1948,Fencing,"Fencing Men's epee, Individual",Italy,Switzerland,Italy
1948,Fencing,"Fencing Men's epee, Team",Sweden,Italy,France
1948,Fencing,"Fencing Women's Foil, Individual",Austria,Denmark,Hungary
1948,Football,Football Men's Football,Denmark,Serbia,Sweden
1948,Gymnastics,Gymnastics Men's Floor Exercise,Czech Republic,Hungary,Hungary
1948,Gymnastics,Gymnastics Men's Horizontal Bar,Finland,Switzerland,Switzerland
1948,Gymnastics,Gymnastics Men's Horse Vault,Hungary,Finland,Finland
1948,Gymnastics,Gymnastics Men's Individual All-Around,Finland,Switzerland,Finland
1948,Gymnastics,Gymnastics Men's Parallel Bars,Switzerland,Finland,Switzerland
1948,Gymnastics,Gymnastics Men's Pommelled Horse,Data Missing,Data Missing,Finland
1948,Gymnastics,Gymnastics Men's Rings,Czech Republic,Switzerland,Switzerland
1948,Gymnastics,Gymnastics Men's Team All-Around,Hungary,Switzerland,Finland
1948,Gymnastics,Gymnastics Women's Team All-Around,USA,Hungary,Czech Republic
1948,Hockey,Hockey Men's Hockey,Netherlands,UK,India
1948,Modern Pentathlon,Modern Pentathlon Men's Individual,Sweden,USA,Sweden
1948,Rowing,Rowing Men's Coxed Eights,Norway,UK,USA
1948,Rowing,Rowing Men's Coxed Fours,Denmark,Switzerland,USA
1948,Rowing,Rowing Men's Coxed Pairs,Hungary,Italy,Denmark
1948,Rowing,Rowing Men's Coxless Fours,USA,Denmark,Italy
1948,Rowing,Rowing Men's Coxless Pairs,Italy,Switzerland,UK
1948,Rowing,Rowing Men's Double Sculls,Uruguay,Denmark,UK
1948,Rowing,Rowing Men's Single Sculls,Italy,Uruguay,Australia
1948,Sailing,Sailing Mixed 6 metres,Sweden,Argentina,USA
1948,Sailing,Sailing Mixed One Person Dinghy,Netherlands,USA,Denmark
1948,Sailing,Sailing Mixed Three Person Keelboat,Denmark,Sweden,Norway
1948,Sailing,Sailing Mixed Two Person Keelboat,Netherlands,Cuba,UK
1948,Shooting,"Shooting Men's Free Pistol, 50 metres",Sweden,Switzerland,Peru
1948,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Norway,Finland,Switzerland
1948,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Sweden,Argentina,Hungary
1948,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Sweden,USA,USA
1948,Swimming,"Swimming Men's 1,500 metres Freestyle",Hungary,Australia,USA
1948,Swimming,Swimming Men's 100 metres Backstroke,France,USA,USA
1948,Swimming,Swimming Men's 100 metres Freestyle,Hungary,USA,USA
1948,Swimming,Swimming Men's 200 metres Breaststroke,USA,USA,USA
1948,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,France,Hungary,USA
1948,Swimming,Swimming Men's 400 metres Freestyle,Australia,USA,USA
1948,Swimming,Swimming Women's 100 metres Backstroke,Australia,USA,Denmark
1948,Swimming,Swimming Women's 100 metres Freestyle,Netherlands,USA,Denmark
1948,Swimming,Swimming Women's 200 metres Breaststroke,Hungary,Australia,Netherlands
1948,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Netherlands,Denmark,USA
1948,Swimming,Swimming Women's 400 metres Freestyle,UK,Denmark,USA
1948,Water Polo,Water Polo Men's Water Polo,Netherlands,Hungary,Italy
1948,Weightlifting,Weightlifting Men's Bantamweight,USA,UK,USA
1948,Weightlifting,Weightlifting Men's Featherweight,Iran,Trinidad,Egypt
1948,Weightlifting,Weightlifting Men's Heavyweight,Netherlands,USA,USA
1948,Weightlifting,Weightlifting Men's Light-Heavyweight,Sweden,USA,USA
1948,Weightlifting,Weightlifting Men's Lightweight,UK,Egypt,Egypt
1948,Weightlifting,Weightlifting Men's Middleweight,South Korea,USA,USA
1948,Wrestling,"Wrestling Men's Bantamweight, Freestyle",France,USA,Turkey
1948,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Turkey,Egypt,Sweden
1948,Wrestling,"Wrestling Men's Featherweight, Freestyle",Switzerland,Sweden,Turkey
1948,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Hungary,Sweden,Turkey
1948,Wrestling,"Wrestling Men's Flyweight, Freestyle",Sweden,Turkey,Finland
1948,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Finland,Turkey,Italy
1948,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Australia,Sweden,Hungary
1948,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Italy,Sweden,Turkey
1948,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Sweden,Switzerland,USA
1948,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Egypt,Finland,Sweden
1948,Wrestling,"Wrestling Men's Lightweight, Freestyle",Switzerland,Sweden,Turkey
1948,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Hungary,Norway,Sweden
1948,Wrestling,"Wrestling Men's Middleweight, Freestyle",Sweden,Turkey,USA
1948,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Italy,Turkey,Sweden
1948,Wrestling,"Wrestling Men's Welterweight, Freestyle",USA,Australia,Turkey
1948,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Denmark,Hungary,Sweden
1952,Athletics,"Athletics Men's 1,500 metres",Germany,USA,Luxembourg
1952,Athletics,Athletics Men's 10 kilometres Walk,Russia,Switzerland,Sweden
1952,Athletics,"Athletics Men's 10,000 metres",Russia,France,Czech Republic
1952,Athletics,Athletics Men's 100 metres,UK,Jamaica,USA
1952,Athletics,Athletics Men's 110 metres Hurdles,USA,USA,USA
1952,Athletics,Athletics Men's 200 metres,USA,USA,USA
1952,Athletics,"Athletics Men's 3,000 metres Steeplechase",UK,Russia,USA
1952,Athletics,Athletics Men's 4 x 100 metres Relay,Hungary,Russia,USA
1952,Athletics,Athletics Men's 4 x 400 metres Relay,Germany,USA,Jamaica
1952,Athletics,Athletics Men's 400 metres,USA,Jamaica,Jamaica
1952,Athletics,Athletics Men's 400 metres Hurdles,New Zealand,Russia,USA
1952,Athletics,"Athletics Men's 5,000 metres",Germany,France,Czech Republic
1952,Athletics,Athletics Men's 50 kilometres Walk,Hungary,Czech Republic,Italy
1952,Athletics,Athletics Men's 800 metres,Germany,Jamaica,USA
1952,Athletics,Athletics Men's Decathlon,USA,USA,USA
1952,Athletics,Athletics Men's Discus Throw,USA,Italy,USA
1952,Athletics,Athletics Men's Hammer Throw,Hungary,Germany,Hungary
1952,Athletics,Athletics Men's High Jump,Brazil,USA,USA
1952,Athletics,Athletics Men's Javelin Throw,Finland,USA,USA
1952,Athletics,Athletics Men's Long Jump,Hungary,USA,USA
1952,Athletics,Athletics Men's Marathon,Sweden,Argentina,Czech Republic
1952,Athletics,Athletics Men's Pole Vault,Sweden,USA,USA
1952,Athletics,Athletics Men's Shot Put,USA,USA,USA
1952,Athletics,Athletics Men's Triple Jump,Venezuela,Russia,Brazil
1952,Athletics,Athletics Women's 100 metres,Australia,South Africa,Australia
1952,Athletics,Athletics Women's 200 metres,Russia,Netherlands,Australia
1952,Athletics,Athletics Women's 4 x 100 metres Relay,UK,Germany,USA
1952,Athletics,Athletics Women's 80 metres Hurdles,Germany,Russia,Australia
1952,Athletics,Athletics Women's Discus Throw,Russia,Russia,Russia
1952,Athletics,Athletics Women's High Jump,Russia,UK,South Africa
1952,Athletics,Athletics Women's Javelin Throw,Russia,Russia,Czech Republic
1952,Athletics,Athletics Women's Long Jump,UK,Russia,New Zealand
1952,Athletics,Athletics Women's Shot Put,Russia,Germany,Russia
1952,Basketball,Basketball Men's Basketball,Uruguay,Russia,USA
1952,Boxing,Boxing Men's Bantamweight,South Korea,Ireland,Finland
1952,Boxing,Boxing Men's Featherweight,France,Italy,Czech Republic
1952,Boxing,Boxing Men's Flyweight,South Africa,Germany,USA
